seed,enable_roads,law_every,law_horizon,n_sqrt,step,n_agents,housed_frac,mean_height,max_height,pct_laws,n_roads,height_p10,height_p50,height_p90,elapsed_s
42,false,10,7,10,1,550,1.0,1.3095238095238095,5,0.0,0,1.0,1.0,2.0,0.08603906631469727
42,false,10,7,10,2,600,1.0,1.3544018058690745,5,0.0,0,1.0,1.0,2.0,0.010900020599365234
42,false,10,7,10,3,650,1.0,1.368421052631579,5,0.0,0,1.0,1.0,2.0,0.00786900520324707
42,false,10,7,10,4,700,1.0,1.3944223107569722,5,0.0,0,1.0,1.0,2.0,0.006891012191772461
42,false,10,7,10,5,750,1.0,1.4204545454545454,6,0.0,0,1.0,1.0,2.0,0.00698089599609375
42,false,10,7,10,6,800,1.0,1.444043321299639,6,0.0,0,1.0,1.0,2.0,0.008105039596557617
42,false,10,7,10,7,850,1.0,1.4834205933682374,7,0.0,0,1.0,1.0,2.0,0.006728172302246094
42,false,10,7,10,8,900,1.0,1.5,8,0.0,0,1.0,1.0,3.0,0.006705045700073242
42,false,10,7,10,9,950,1.0,1.5103338632750398,8,0.0,0,1.0,1.0,3.0,0.006692171096801758
42,false,10,7,10,10,1000,1.0,1.5360983102918586,8,0.0,0,1.0,1.0,3.0,0.00773310661315918
42,false,10,7,10,11,1050,1.0,1.5373352855051245,8,18.0,0,1.0,1.0,3.0,0.15096807479858398
42,false,10,7,10,12,1100,1.0,1.5580736543909348,8,18.0,0,1.0,1.0,3.0,0.007548093795776367
42,false,10,7,10,13,1150,1.0,1.5603799185888738,8,18.0,0,1.0,1.0,3.0,0.006677150726318359
42,false,10,7,10,14,1200,1.0,1.5748031496062993,8,18.0,0,1.0,1.0,3.0,0.0071430206298828125
42,false,10,7,10,15,1250,1.0,1.5903307888040712,8,18.0,0,1.0,1.0,3.0,0.006983041763305664
42,false,10,7,10,16,1300,1.0,1.61090458488228,8,18.0,0,1.0,1.0,3.0,0.007822036743164062
42,false,10,7,10,17,1350,1.0,1.6265060240963856,8,18.0,0,1.0,1.0,3.0,0.0070188045501708984
42,false,10,7,10,18,1400,1.0,1.650943396226415,8,18.0,0,1.0,1.0,3.0,0.006609916687011719
42,false,10,7,10,19,1450,1.0,1.6628440366972477,8,18.0,0,1.0,1.0,3.0,0.00716710090637207
42,false,10,7,10,20,1500,1.0,1.687289088863892,8,18.0,0,1.0,1.0,3.0,0.007091999053955078
42,false,10,7,10,21,1550,1.0,1.6958424507658643,8,29.0,0,1.0,1.0,3.0,0.15867900848388672
42,false,10,7,10,22,1600,1.0,1.7112299465240641,8,29.0,0,1.0,1.0,3.0,0.008205890655517578
42,false,10,7,10,23,1650,1.0,1.7205422314911365,8,29.0,0,1.0,1.0,3.0,0.010331153869628906
42,false,10,7,10,24,1700,1.0,1.7364657814096016,8,29.0,0,1.0,1.0,3.0,0.008666038513183594
42,false,10,7,10,25,1750,1.0,1.7552657973921766,8,29.0,0,1.0,1.0,3.0,0.009438037872314453
42,false,10,7,10,26,1800,1.0,1.7595307917888563,8,29.0,0,1.0,1.0,4.0,0.007603883743286133
42,false,10,7,10,27,1850,1.0,1.7754318618042226,8,29.0,0,1.0,1.0,4.0,0.009737014770507812
42,false,10,7,10,28,1900,1.0,1.7975402081362346,8,29.0,0,1.0,1.0,4.0,0.0078089237213134766
42,false,10,7,10,29,1950,1.0,1.8105849582172702,8,29.0,0,1.0,1.0,4.0,0.008565902709960938
42,false,10,7,10,30,2000,1.0,1.829826166514181,8,29.0,0,1.0,1.0,4.0,0.006957054138183594
42,false,10,7,10,31,2050,1.0,1.8402154398563735,8,39.0,0,1.0,1.0,4.0,0.15442204475402832
42,false,10,7,10,32,2100,1.0,1.8469656992084433,8,39.0,0,1.0,1.0,4.0,0.009159088134765625
42,false,10,7,10,33,2150,1.0,1.8486672398968185,8,39.0,0,1.0,1.0,4.0,0.009706974029541016
42,false,10,7,10,34,2200,1.0,1.8565400843881856,8,39.0,0,1.0,1.0,4.0,0.008450031280517578
42,false,10,7,10,35,2250,1.0,1.8718801996672212,8,39.0,0,1.0,1.0,4.0,0.007924079895019531
42,false,10,7,10,36,2300,1.0,1.8837018837018837,8,39.0,0,1.0,1.0,4.0,0.007503032684326172
42,false,10,7,10,37,2350,1.0,1.8966908797417272,8,39.0,0,1.0,1.0,4.0,0.006560087203979492
42,false,10,7,10,38,2400,1.0,1.910828025477707,8,39.0,0,1.0,1.0,4.0,0.007600069046020508
42,false,10,7,10,39,2450,1.0,1.9200626959247649,8,39.0,0,1.0,1.0,4.0,0.009070158004760742
42,false,10,7,10,40,2500,1.0,1.9275250578257517,8,39.0,0,1.0,1.0,4.0,0.007825136184692383
42,false,10,7,10,41,2550,1.0,1.9406392694063928,8,43.0,0,1.0,1.0,4.0,0.14810705184936523
42,false,10,7,10,42,2600,1.0,1.9607843137254901,9,43.0,0,1.0,1.0,4.0,0.009076118469238281
42,false,10,7,10,43,2650,1.0,1.9673348181143282,9,43.0,0,1.0,1.0,4.0,0.007436037063598633
42,false,10,7,10,44,2700,1.0,1.9809244314013206,9,43.0,0,1.0,1.0,4.0,0.006938934326171875
42,false,10,7,10,45,2750,1.0,1.9913106444605357,9,43.0,0,1.0,1.0,4.0,0.0071258544921875
42,false,10,7,10,46,2800,1.0,2.0014295925661187,9,43.0,0,1.0,1.0,4.0,0.00689387321472168
42,false,10,7,10,47,2850,1.0,2.0084566596194504,9,43.0,0,1.0,1.0,4.0,0.006651878356933594
42,false,10,7,10,48,2900,1.0,2.0166898470097356,9,43.0,0,1.0,1.0,4.0,0.00767207145690918
42,false,10,7,10,49,2950,1.0,2.019164955509925,9,43.0,0,1.0,1.0,4.0,0.010440826416015625
